crop_filename,orig_image,class_id,class_name,conf,x1,y1,x2,y2,ocr_text
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop30.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9087,658.5,1712.6,788.0,1791.7,"9,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop31.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9085,1792.9,933.3,1919.4,1011.7,"4,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop22.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9061,642.9,1177.2,763.7,1307.2,Azeite Português Extra Virgem Andorinha 500ml
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop32.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9058,626.4,1327.2,793.7,1409.0,"33,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop23.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9054,813.0,1329.9,1011.8,1413.4,Farinha De Trigo Finna Tradicional Sem Fermento 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop33.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9039,1035.9,1326.6,1164.7,1407.8,"4,18"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop34.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9035,277.1,934.9,406.0,1011.3,"2,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop35.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9026,1409.5,1326.8,1539.1,1410.0,"1,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop36.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9020,282.4,1327.5,407.4,1407.3,"5,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop24.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9016,1081.2,1571.3,1176.1,1695.6,Pneu Dunlop Sp Touring 175/65R14 R182T
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop25.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9004,78.8,1713.2,256.2,1795.8,Água Mineral s/ Gás Aguas do Porto 510ml
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop37.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8972,1413.8,933.2,1540.6,1012.0,"3,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop38.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8969,280.8,1710.8,410.9,1791.4,"0,78"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_price_crop39.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8951,1037.7,535.8,1164.2,616.0,"3,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop26.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8888,455.3,544.5,613.1,622.6,Manteiga com Sal Natville 5009
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop27.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8883,46.1,556.9,239.1,614.7,Carne Suína Pururuca kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop28.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8869,1602.4,533.4,1764.4,614.1,Leite Condensado Italac 3959
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop29.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8865,453.9,1713.4,621.4,1794.6,Sabão em Barra Neutro Glicerinado Ypê 160g c/ 5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop30.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8764,1253.5,959.3,1385.6,1013.0,Açúcar Cristal Dona Mira 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop31.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8719,1599.6,1335.1,1766.6,1394.0,Milho Verde Fugini Sachê 170g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop32.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8649,1706.4,1585.9,1874.8,1693.0,Pneu Dunlop Touring 175/70R13 R1 79T 105/70R13 R1 79T
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop33.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8642,1210.4,566.9,1387.3,620.5,Leite em Pó Integral Italac Sachê 200g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop34.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8629,893.0,944.6,995.3,998.8,Café Bahia 2509
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop35.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8575,1571.1,960.4,1765.5,1014.5,Arroz Agulhinha Tipo 1 Tio Urbano 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop36.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8564,88.1,1356.2,256.3,1411.1,Feijão Carioca Vida Cores 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop37.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8514,640.9,843.1,784.9,918.1,Leite Longa Vida Integral Betânia 1 litro
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop38.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8474,1025.4,382.0,1128.7,515.7,Pão de Forma Tradicional Limiar 400g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2_product_text_crop39.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8435,1446.5,1203.4,1524.2,1313.7,Massa Comum Petyan 400g
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop40.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9276,240.8,1017.6,406.3,1094.7,"25,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop41.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9216,1779.9,2196.0,1915.9,2274.9,"5,8."
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop42.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9212,1761.1,1014.5,1924.1,1092.3,"15,8"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop43.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9202,1379.6,1017.3,1545.1,1093.9,"34,50"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop44.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9176,1002.4,1804.3,1165.1,1881.8,"19,"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop45.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9176,262.5,2197.9,395.3,2275.0,"3,2"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop46.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9134,1022.1,1409.9,1147.2,1487.4,"5,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop47.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9106,1761.2,1408.7,1924.1,1486.6,"16,5"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop48.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9102,620.5,1804.2,784.2,1882.0,"22,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop49.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9096,618.2,1016.9,783.7,1094.0,"26,8"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop50.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9078,1398.1,1802.6,1532.0,1882.4,"4,."
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop51.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9076,1001.7,1017.0,1165.2,1094.0,"34,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop52.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9060,1377.7,1409.5,1544.0,1486.0,"14,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop53.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9058,1398.8,2197.3,1533.1,2275.1,"2,8"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop54.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9041,242.2,1410.3,403.8,1486.2,"12,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop55.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.9012,645.6,2197.7,771.2,2274.9,"1,2"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop56.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.8959,262.8,1803.6,397.7,1881.5,"0,.."
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop57.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.8951,642.3,1409.8,767.8,1486.4,"9,80"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop40.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8949,70.8,1809.8,231.1,1862.4,Hambúrguer Misto Friara 569
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop58.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.8946,1793.7,1801.8,1919.0,1881.5,3
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_price_crop59.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,0,price,0.8915,1023.2,2198.7,1154.3,2276.2,"3,22"
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop41.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8911,61.1,998.9,233.2,1100.7,Acém/Pá/Peito Bovino Resfriado Friboi Peça/Pedaço kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop42.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8906,1188.6,1410.7,1373.2,1489.5,Linguiça p/ Churrasco em Gomos Naturaves kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop43.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8898,437.6,1008.9,612.1,1091.8,Capa de Filé Bovino Resfriado Friboi Peça À Vácuo kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop44.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8882,70.5,2203.1,231.4,2278.4,Arroz Parboilizado Ou Branco Dona Ana 1kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop45.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8855,1584.9,1406.1,1754.8,1485.4,Linguiça Defumada Calabresa Fina Naturaves kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop46.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8847,807.4,1013.5,996.0,1092.8,Patinho Bovino Resfriado Friboi Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop47.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8839,1183.6,2200.6,1368.7,2256.1,Creme de Leite Italac 200g Tp
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop48.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8810,814.1,2199.9,992.3,2276.6,Massa Comum Parafuso Tradicional Brandini 5009
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop49.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8793,448.0,1411.2,612.1,1488.9,Coxa c/ Sobrecoxa de Frango Congelada kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop50.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8693,1196.7,1807.2,1368.7,1886.4,Leite Longa Vida Damare Integral Ou Desnatado 1 litro
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop51.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8652,1625.0,1024.6,1754.1,1079.3,Carré Suíno Congelado kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop52.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8593,1623.9,1818.3,1754.5,1872.4,Açúcar Cristal Dona Mira 1kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop53.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8592,863.5,1413.6,991.8,1468.4,Galinha Magra Congelada kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop54.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8590,464.6,2216.3,608.7,2267.4,Flocão Vitamilho 500g
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop55.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8566,1594.6,2197.5,1750.8,2250.3,Leite Condensado Italac 3959
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop56.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8533,456.0,1820.4,612.1,1870.4,Batata Congelada Uai 2kg
BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1_product_text_crop57.png,BRASIL ATACAREJO - BRUMADO 06.10 A 12.10_p1.png,1,product_text,0.8494,818.2,1822.2,991.3,1876.3,Manteiga Natville C/ Sal 500g
