image,product_crop,product_ocr,product_conf,product_x1,product_y1,product_x2,product_y2,price_crop,price_ocr,price_conf,price_x1,price_y1,price_x2,price_y2,price_brl,price_raw,unit,branch,period_start,period_end,product_norm
BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p2.png,BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p2_product_text_crop187.png,Arroz Parboilizado Rampinelli 1kg,0.8560,70.9,931.6,231.1,985.6,BRASIL ATACAREJO - CAMPINA GRANDE 01.12 A 07.12_p2_price_crop183.png,"2,8",0.9030,256.4,927.0,386.4,1001.9,2.80,"2,80",kg,CAMPINA GRANDE,01.12,07.12,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1_product_text_crop195.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8994,1190.0,1017.0,1368.0,1096.1,BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1_price_crop195.png,"24,80",0.9190,1374.5,1018.2,1540.6,1094.5,24.80,"24,80",kg,CAMPINA GRANDE,03.11,09.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1_product_text_crop198.png,Arroz Parboilizado Tipo 1 Kika 1kg,0.8823,463.5,2214.0,621.1,2266.0,BRASIL ATACAREJO - CAMPINA GRANDE 03.11 A 09.11_p1_price_crop199.png,"35,",0.9133,636.9,2199.4,776.5,2275.7,35.00,"35,00",kg,CAMPINA GRANDE,03.11,09.11,ARROZ PARBOILIZADO TIPO 1 KIKA 1KG
BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1_product_text_crop239.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/Pedaço kg,0.8906,60.4,996.4,233.0,1099.0,BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1_price_crop249.png,"29,9",0.8987,246.1,1018.0,411.2,1094.1,29.90,"29,90",kg,CAMPINA GRANDE,06.10,12.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1_product_text_crop254.png,Arroz Parboilizado Tipo 1 Kika 1kg,0.7900,1594.8,1809.3,1755.5,1863.3,BRASIL ATACAREJO - CAMPINA GRANDE 06.10 A 12.10_p1_price_crop252.png,"3,8",0.8903,1794.8,1802.8,1919.0,1881.3,3.80,"3,80",kg,CAMPINA GRANDE,06.10,12.10,ARROZ PARBOILIZADO TIPO 1 KIKA 1KG
BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p1_product_text_crop278.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8876,456.5,1121.2,617.9,1204.5,BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p1_price_crop279.png,"24,80",0.9077,625.6,1137.0,793.5,1213.4,24.80,"24,80",kg,CAMPINA GRANDE,10.11,16.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p2.png,BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p2_product_text_crop301.png,Arroz Parboilizado Rampinelli 1kg,0.8634,449.9,930.8,611.6,985.6,BRASIL ATACAREJO - CAMPINA GRANDE 10.11 A 16.11_p2_price_crop306.png,"3,8",0.8840,636.5,927.3,767.2,1003.8,3.80,"3,80",kg,CAMPINA GRANDE,10.11,16.11,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop312.png,Acém/Pá/Peito Bovino Congelado c/ Osso kg,0.8981,834.0,1132.0,995.7,1217.4,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop309.png,"24,50",0.9182,1003.3,1137.7,1169.8,1214.5,24.50,"24,50",kg,CAMPINA GRANDE,17.11,23.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_product_text_crop318.png,Arroz Parboilizado Rampinelli 1kg,0.8678,1208.0,2000.1,1369.5,2056.2,BRASIL ATACAREJO - CAMPINA GRANDE 17.11 A 23.11_p1_price_crop319.png,"3,8",0.9017,1399.7,1989.9,1533.8,2067.0,3.80,"3,80",kg,CAMPINA GRANDE,17.11,23.11,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - CAMPINA GRANDE 24.11 A 30.11_p1.png,BRASIL ATACAREJO - CAMPINA GRANDE 24.11 A 30.11_p1_product_text_crop345.png,Acém/Pá/Peito Bovino Congelado c/ Osso kg,0.9254,55.8,1130.0,235.5,1213.2,BRASIL ATACAREJO - CAMPINA GRANDE 24.11 A 30.11_p1_price_crop345.png,"23,50",0.9169,245.4,1137.9,410.2,1212.9,23.50,"23,50",kg,CAMPINA GRANDE,24.11,30.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p1_product_text_crop386.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8843,78.4,1126.2,237.4,1208.7,BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p1_price_crop380.png,"24,50",0.9160,245.3,1137.7,410.1,1212.5,24.50,"24,50",kg,JOÃO PESSOA,01.12,07.12,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p2.png,BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p2_product_text_crop410.png,Arroz Parboilizado Rampinelli 1kg,0.8560,70.9,931.6,231.1,985.6,BRASIL ATACAREJO - JOÃO PESSOA 01.12 A 07.12_p2_price_crop403.png,"2,8",0.9032,256.4,927.0,386.4,1001.9,2.80,"2,80",kg,JOÃO PESSOA,01.12,07.12,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1_product_text_crop418.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8994,1190.0,1017.0,1368.0,1096.1,BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1_price_crop415.png,"24,80",0.9192,1374.5,1018.2,1540.6,1094.5,24.80,"24,80",kg,JOÃO PESSOA,03.11,09.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1_product_text_crop421.png,Arroz Parboilizado Tipo 1 Kika 1kg,0.8833,463.4,2214.0,621.0,2266.0,BRASIL ATACAREJO - JOÃO PESSOA 03.11 A 09.11_p1_price_crop419.png,"35,",0.9138,636.8,2199.4,776.6,2275.7,35.00,"35,00",kg,JOÃO PESSOA,03.11,09.11,ARROZ PARBOILIZADO TIPO 1 KIKA 1KG
BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1_product_text_crop462.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/ Pedaço kg,0.8933,428.4,1018.4,618.9,1098.9,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1_price_crop458.png,"29,0",0.9100,625.7,1018.2,793.5,1094.9,29.00,"29,00",kg,JOÃO PESSOA,06.10,12.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1_product_text_crop470.png,Arroz Parboilizado Tipo 1 Kika 1kg,0.8574,458.9,1808.1,619.2,1862.3,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p1_price_crop471.png,"3,2",0.8886,655.0,1804.0,781.4,1881.7,3.20,"3,20",kg,JOÃO PESSOA,06.10,12.10,ARROZ PARBOILIZADO TIPO 1 KIKA 1KG
BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p2.png,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p2_product_text_crop487.png,Amaciante Guarani 2 litros,0.8606,67.6,1724.7,231.3,1776.8,BRASIL ATACAREJO - JOÃO PESSOA 06.10 A 12.10_p2_price_crop479.png,"6,.",0.9034,260.2,1722.0,394.7,1795.8,6.00,"6,00",l,JOÃO PESSOA,06.10,12.10,AMACIANTE GUARANI 2 LITROS
BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p1_product_text_crop499.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.9179,451.6,1128.9,618.5,1214.7,BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p1_price_crop500.png,"24,80",0.9093,625.6,1136.7,795.8,1214.3,24.80,"24,80",kg,JOÃO PESSOA,10.11,16.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p2.png,BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p2_product_text_crop525.png,Arroz Parboilizado Rampinelli 1kg,0.8634,449.9,930.8,611.6,985.6,BRASIL ATACAREJO - JOÃO PESSOA 10.11 A 16.11_p2_price_crop527.png,"3,8",0.8839,636.5,927.3,767.2,1003.8,3.80,"3,80",kg,JOÃO PESSOA,10.11,16.11,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1_product_text_crop536.png,Acém/Pá/Peito Bovino Congelado c/ Osso kg,0.8987,834.0,1132.1,995.6,1217.4,BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1_price_crop530.png,"24,50",0.9179,1003.4,1137.8,1169.7,1214.5,24.50,"24,50",kg,JOÃO PESSOA,17.11,23.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1_product_text_crop542.png,Arroz Parboilizado Rampinelli 1kg,0.8677,1208.0,2000.1,1369.5,2056.2,BRASIL ATACAREJO - JOÃO PESSOA 17.11 A 23.11_p1_price_crop540.png,"3,8",0.9020,1399.7,1989.9,1533.8,2067.0,3.80,"3,80",kg,JOÃO PESSOA,17.11,23.11,ARROZ PARBOILIZADO RAMPINELLI 1KG
BRASIL ATACAREJO - JOÃO PESSOA 24.11 A 30.11_p1.png,BRASIL ATACAREJO - JOÃO PESSOA 24.11 A 30.11_p1_product_text_crop569.png,Acém/Pá/Peito Bovino Congelado c/ Osso kg,0.9254,55.8,1130.0,235.5,1213.2,BRASIL ATACAREJO - JOÃO PESSOA 24.11 A 30.11_p1_price_crop566.png,"23,50",0.9170,245.4,1137.9,410.2,1212.9,23.50,"23,50",kg,JOÃO PESSOA,24.11,30.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1_product_text_crop608.png,Alcatra c/ Maminha Bovina Resfriada Peça/ Pedaço kg,0.8909,444.3,1568.6,611.8,1648.6,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1_price_crop606.png,"38,0",0.9138,619.3,1562.7,784.3,1640.0,38.00,"38,00",kg,JUAZEIRO DO NORTE,01.12,07.12,ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1_product_text_crop612.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8810,1592.0,1133.0,1755.4,1216.3,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p1_price_crop601.png,"21,",0.9203,1760.0,1133.7,1925.9,1213.0,21.00,"21,00",kg,JUAZEIRO DO NORTE,01.12,07.12,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p2.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p2_product_text_crop630.png,Arroz Parboilizado Tipo 2 Pop 1kg,0.8676,72.7,941.9,234.3,998.0,BRASIL ATACAREJO - JUAZEIRO DO NORTE 01.12 A 07.12_p2_price_crop628.png,"2,8",0.9049,256.2,929.6,387.8,1008.4,2.80,"2,80",kg,JUAZEIRO DO NORTE,01.12,07.12,ARROZ PARBOILIZADO TIPO 2 POP 1KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p1_product_text_crop641.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.8941,432.3,1018.7,612.3,1099.9,BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p1_price_crop646.png,"23,80",0.9111,619.1,1016.8,784.6,1094.1,23.80,"23,80",kg,JUAZEIRO DO NORTE,03.11,09.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p2.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p2_product_text_crop673.png,Arroz Parboilizado Tipo 2 Pop 1kg,0.8516,1214.7,538.1,1375.1,595.2,BRASIL ATACAREJO - JUAZEIRO DO NORTE 03.11 A 09.11_p2_price_crop662.png,"3,28",0.9113,1409.4,529.4,1537.9,605.9,3.28,"3,28",kg,JUAZEIRO DO NORTE,03.11,09.11,ARROZ PARBOILIZADO TIPO 2 POP 1KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 06.10 A 12.10_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 06.10 A 12.10_p1_product_text_crop681.png,Acém/Pá/Peito Bovino Resfriado Friboi Peça/ Pedaço kg,0.8971,1182.7,1017.1,1371.4,1097.6,BRASIL ATACAREJO - JUAZEIRO DO NORTE 06.10 A 12.10_p1_price_crop675.png,"26,",0.9250,1380.2,1017.6,1546.1,1094.4,26.00,"26,00",kg,JUAZEIRO DO NORTE,06.10,12.10,ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1_product_text_crop721.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,0.8969,1601.2,1131.9,1755.8,1217.9,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1_price_crop723.png,"25,80",0.9112,1761.9,1134.6,1925.3,1212.9,25.80,"25,80",kg,JUAZEIRO DO NORTE,10.11,16.11,ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1_product_text_crop726.png,Alcatra c/ Maminha Bovina Resfriada Peça/ Pedaço kg,0.8853,441.7,1138.1,613.4,1218.8,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p1_price_crop714.png,"38,0",0.9239,620.7,1136.0,785.3,1213.3,38.00,"38,00",kg,JUAZEIRO DO NORTE,10.11,16.11,ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2_product_text_crop734.png,Acém/ Pá/ Peito Bovino Congelado c/ Osso kg,0.9057,53.1,531.7,232.4,613.7,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2_price_crop729.png,"23,80",0.9296,239.9,537.3,405.3,614.9,23.80,"23,80",kg,JUAZEIRO DO NORTE,10.11,16.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2_product_text_crop746.png,Arroz Parboilizado Tipo 2 Pop 1kg,0.8597,1213.8,931.2,1374.7,989.8,BRASIL ATACAREJO - JUAZEIRO DO NORTE 10.11 A 16.11_p2_price_crop743.png,"3,28",0.8974,1396.5,929.3,1527.3,1008.9,3.28,"3,28",kg,JUAZEIRO DO NORTE,10.11,16.11,ARROZ PARBOILIZADO TIPO 2 POP 1KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1_product_text_crop754.png,Acém/Pá/Peito Bovino Congelado C/Osso kg,0.9121,450.3,1553.4,613.7,1636.9,BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1_price_crop762.png,"23,80",0.9013,617.2,1562.8,783.5,1640.8,23.80,"23,80",kg,JUAZEIRO DO NORTE,17.11,23.11,ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1_product_text_crop761.png,Alcatra c/ Maminha Bovina Resfriada Peça/Pedaço kg,0.8813,442.8,1138.5,613.3,1218.5,BRASIL ATACAREJO - JUAZEIRO DO NORTE 17.11 A 23.11_p1_price_crop750.png,"38,99",0.9198,619.1,1135.7,784.4,1213.0,38.99,"38,99",kg,JUAZEIRO DO NORTE,17.11,23.11,ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1_product_text_crop795.png,Alcatra c/ Maminha Bovina Resfriada Peça/ Pedaço kg,0.8876,1584.6,1134.0,1753.9,1216.2,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1_price_crop788.png,"38,99",0.9143,1761.9,1133.9,1925.5,1212.0,38.99,"38,99",kg,JUAZEIRO DO NORTE,24.11,30.11,ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1_product_text_crop796.png,Acém/Pá/Peito Bovino Resfriado Peça/Pedaço kg,0.8868,841.4,1136.2,993.3,1220.3,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p1_price_crop784.png,"25,80",0.9253,1000.2,1136.2,1166.0,1213.9,25.80,"25,80",kg,JUAZEIRO DO NORTE,24.11,30.11,ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG
BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p2.png,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p2_product_text_crop817.png,Arroz Parboilizado Tipo 2 Pop 1kg,0.8636,1214.6,942.1,1374.6,997.9,BRASIL ATACAREJO - JUAZEIRO DO NORTE 24.11 A 30.11_p2_price_crop815.png,"2,78",0.8987,1401.7,929.7,1528.9,1007.7,2.78,"2,78",kg,JUAZEIRO DO NORTE,24.11,30.11,ARROZ PARBOILIZADO TIPO 2 POP 1KG
BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 03.11 A 06.11_p1.png,BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 03.11 A 06.11_p1_product_text_crop833.png,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg,0.8857,72.5,998.4,225.0,1082.3,BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 03.11 A 06.11_p1_price_crop831.png,"25,80",0.9099,248.3,1017.2,413.6,1095.1,25.80,"25,80",kg,VITÓRIA DA CONQUISTA,03.11,06.11,ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG
BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 06.10 A 12.10_p1.png,BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 06.10 A 12.10_p1_product_text_crop874.png,Arroz Parboilizado Minutinho 1kg,0.8642,826.6,1827.4,986.6,1880.1,BRASIL ATACAREJO - VITÓRIA DA CONQUISTA 06.10 A 12.10_p1_price_crop875.png,"3,",0.8932,1033.5,1803.3,1157.5,1882.5,3.00,"3,00",kg,VITÓRIA DA CONQUISTA,06.10,12.10,ARROZ PARBOILIZADO MINUTINHO 1KG
